group_name,video_id,title,view_count,like_count,comment_count,positive_ratio,negative_ratio,neutral_ratio,published_at
해은_규민,cwy3198mFng,환승연애2 🎀 펑펑 울다 규민이 문자 한 통에 빵긋 웃는 해은😂,351580,2877,145,0.2,0.6,0.2,2022-09-03T09:51:24Z
희두_나연,YGo6TUnVJiQ,"[ENG] 희두 완전 FOX네…🦊♥ 4년차 커플 희두&amp;나연, 현실 커플의 달달구리 텐션 모두 공개합니다!ㅣ이나연ㅣ남희두ㅣ케미맛ZIP",349862,5359,178,0.75,0.25,0.0,2023-01-16T00:00:10Z
희두_나연,LABsPSSDZPM,VLOGㅣ나연&amp;희두 커플과의 2박3일 제주 여행ㅣ인스타 피드용 사진 찍는 법 그리고 아이폰 추천ㅣ여름맞이 언박싱ㅣ제주 숙소 추천ㅣ제주 맛집,348218,2628,177,0.25,0.0,0.75,2024-07-04T18:42:48Z
희두_나연,Nqa_6nKHn-0,"이나연, 환승 연애에 출연을 위해 남희두에게 먼저 연락 #강심장VS #SBSenter",346290,861,48,0.4,0.4,0.2,2023-12-12T15:03:06Z
희두_나연,3ga-Aa2hcjM,원규지현 vs 희두나연,333517,817,4,0.0,0.5,0.5,2025-12-11T03:16:26Z
희두_나연,XEBJFo2NI54,4랑둥이 인터뷰💜 | 나연X희두X해은X현규 냉터뷰 커밍쑨!,330126,8372,209,1.0,0.0,0.0,2022-12-28T15:00:19Z
희두_나연,xW6QRLo7ldY,"＂왜 나한테 예민하다고 해?＂ 또 싸우는 &#39;환승연애&#39; 희두♥나연, 급기야 💥촬영 중단 선언?!💥｜극한투어｜JTBC 240929 방송",329599,2023,964,0.0,0.8,0.2,2024-09-29T15:17:19Z
해은_규민,3et-1-JuDVk,[환승연애2] 해은 규민,318082,2960,43,0.4,0.0,0.6,2022-10-22T01:55:22Z
희두_나연,IN0yY3TfdEg,(SUB) 생일 주간 vlog l 희두가 오다 주운 에르메스 l 이나연이 큰거 쏜다. 생일 역조공 EVENT | 행복은 강도가 아닌 빈도💕,316553,3920,2565,0.4,0.0,0.6,2025-04-22T11:00:25Z
희두_나연,79qJlyoSeQY,(SUB) 이나연 인생 첫 편집👩‍💻 l 내가 만든 VLOG l 스윗한 희두 특집🌷 l 희두랑 신라호텔 호캉스 | 태이네 팝업 | 나둥이 만나기💕,307896,4009,217,1.0,0.0,0.0,2024-03-23T10:00:05Z
희두_나연,xzcNvLHr6F4,(SUB) 나연X희두 역대급 사이좋은 도쿄여행🗼l 1박 300만원 아만 자누 l 커플룩 디즈니랜드🏰 l 도쿄뷰 헬기투어🚁 l 도쿄 기절초풍 맛집🤤 l 기념일 여행코스,305061,3357,456,0.75,0.0,0.25,2024-11-05T13:01:23Z
희두_나연,Y0zydf3H4jM,찐 커플 린정 희두 나연ㅠㅠ 달달해 ㅠ #shorts #환승연애2,298608,4885,95,0.4,0.2,0.4,2022-10-28T13:18:09Z
희두_나연,lSJB39cIokc,희두X나연 싸이퍼 비하인드 #환승연애3,290326,4201,18,1.0,0.0,0.0,2024-03-28T14:03:51Z
희두_나연,ABQACzmgblk,환승연애2 희두x나연이 잘 될 수 없는 이유 #shorts,282541,3307,68,0.25,0.75,0.0,2022-11-12T03:00:06Z
해은_규민,zCuuqYTnOos,환승연애2 규민 말려도 앞에 서면 웃참 안되는 해은,277929,926,149,0.6,0.2,0.2,2022-09-26T08:06:01Z
해은_규민,zhZAsflcOkY,[환승연애2] 규민 해은 댄스배틀,275613,1860,90,0.75,0.0,0.25,2022-09-18T01:40:12Z
희두_나연,v0zHLw1zqZ8,(SUB) 🇰🇷 희두X나연이가 부산 당일치기를 즐기는 법 l 오락실 3대장 대결🕹 l 부산 한우 오마카세 추천🍖 l 먹방 여행🍽️,268965,2528,120,0.5,0.25,0.25,2023-09-22T07:00:32Z
희두_나연,OfIz2VLkyM8,희두X나연 방콕여행 중 다정두 모음zip #희두잇,250739,2404,21,0.75,0.25,0.0,2024-07-12T09:00:30Z
희두_나연,NxY3ithz2f4,희두X나연이 본 주원X서경 #환승연애3,246268,2338,13,0.8,0.2,0.0,2024-03-29T04:01:30Z
희두_나연,gh-djlk791Y,환승연애 모르는 이수근 ㅋㅋ😂 나연이 말해주는 나연 희두 커플 근황✨ l 아는 형님 l JTBC 231014 방송,235276,1042,38,0.17,0.67,0.17,2023-10-15T05:20:00Z
희두_나연,ub3a2r7hKeo,"(ENG CC) 희두와 나연의 지독한 사랑 사주? | 나연 희두 궁합, 러키유, 에스콰이어",220208,2817,119,0.8,0.2,0.0,2022-12-31T06:00:30Z
희두_나연,E1nqjw8HkDs,[ENG] 환승은 안 했지만 쇼윈도 커플? 희두 나연의 용타로점 결과는? | 용타로 EP.2,217479,3290,169,0.75,0.25,0.0,2024-11-06T09:00:22Z
해은_규민,55fUG6VgxHI,환승연애2🎀규민이의 소박한 관심에 빵긋 웃는 해은😆,213524,1788,19,0.2,0.6,0.2,2022-09-12T23:00:02Z
희두_나연,ceA7CRAEUgA,(SUB) 희두나연 글램핑🏕️ l 극단적인 밸런스게임 l 이성친구랑 1박vs전여친이랑 밤샘술 l 오징어게임2 후기 l 남희두 춤추다🕺,213255,2352,154,0.75,0.25,0.0,2025-01-21T13:00:53Z
희두_나연,16sgFktOrtU,희두X나연 또 싸움｜극한투어｜JTBC 240929 방송,212628,1055,525,0.2,0.6,0.2,2024-10-01T13:06:32Z
희두_나연,nKtfXqwXpRQ,ESFP 나연의 숨겨진 J력 대방출! 희두를 위해 준비한 밸런타인데이 데이트 코스 엿보기👀,204345,1510,109,0.6,0.2,0.2,2023-02-08T09:00:29Z
희두_나연,egiq4UBYEgs,연고전으로 커플이 된 나연♥희두 #shorts,193537,2593,17,0.25,0.0,0.75,2023-10-14T15:22:27Z
해은_규민,RFNWqy5Voc0,규민해은 서사 그 잡채 노래,183456,0,66,0.6,0.4,0.0,2022-10-27T07:55:59Z
희두_나연,KlED35CgXeI,[환승연애2]오랜만에 손이나 잡아볼까? #희두나연 #나연희두,177429,1430,67,0.75,0.0,0.25,2022-10-28T13:36:07Z
해은_규민,bplJ5Cxw2XQ,[환승연애2] 해은 규민 : 잘가 내 추억의 사람..,176727,2141,42,0.8,0.2,0.0,2022-10-28T15:41:13Z
